service_date,route_id,trip_id,stop_id,arrival_time,departure_time,stop_sequence,direction_id,direction
2025-01-23,Red,trip_00084,stop_025,17:24:00,17:25:00,10,0,Outbound
2025-01-24,Orange,trip_00085,stop_026,18:25:00,18:26:00,11,1,Inbound
2025-01-25,Red,trip_00086,stop_027,19:26:00,19:27:00,12,0,Outbound
2025-01-26,Orange,trip_00087,stop_028,20:27:00,20:28:00,13,1,Inbound
2025-01-27,Red,trip_00088,stop_029,21:28:00,21:29:00,14,0,Outbound
2025-01-28,Orange,trip_00089,stop_030,22:29:00,22:30:00,15,1,Inbound
2025-01-29,Red,trip_00090,stop_001,05:30:00,05:31:00,16,0,Outbound
2025-01-30,Orange,trip_00091,stop_002,06:31:00,06:32:00,17,1,Inbound
2025-01-31,Red,trip_00092,stop_003,07:32:00,07:33:00,18,0,Outbound
2025-01-01,Orange,trip_00093,stop_004,08:33:00,08:34:00,19,1,Inbound
2025-01-02,Red,trip_00094,stop_005,09:34:00,09:35:00,20,0,Outbound
2025-01-03,Orange,trip_00095,stop_006,10:35:00,10:36:00,21,1,Inbound
2025-01-04,Red,trip_00096,stop_007,11:36:00,11:37:00,22,0,Outbound
2025-01-05,Orange,trip_00097,stop_008,12:37:00,12:38:00,23,1,Inbound
2025-01-06,Red,trip_00098,stop_009,13:38:00,13:39:00,24,0,Outbound
2025-01-07,Orange,trip_00099,stop_010,14:39:00,14:40:00,25,1,Inbound
2025-01-08,Red,trip_00100,stop_011,15:40:00,15:41:00,1,0,Outbound
2025-01-09,Orange,trip_00101,stop_012,16:41:00,16:42:00,2,1,Inbound
2025-01-10,Red,trip_00102,stop_013,17:42:00,17:43:00,3,0,Outbound
2025-01-11,Orange,trip_00103,stop_014,18:43:00,18:44:00,4,1,Inbound
2025-01-12,Red,trip_00104,stop_015,19:44:00,19:45:00,5,0,Outbound
2025-01-13,Orange,trip_00105,stop_016,20:45:00,20:46:00,6,1,Inbound
2025-01-14,Red,trip_00106,stop_017,21:46:00,21:47:00,7,0,Outbound
2025-01-15,Orange,trip_00107,stop_018,22:47:00,22:48:00,8,1,Inbound
2025-01-16,Red,trip_00108,stop_019,05:48:00,05:49:00,9,0,Outbound
2025-01-17,Orange,trip_00109,stop_020,06:49:00,06:50:00,10,1,Inbound
2025-01-18,Red,trip_00110,stop_021,07:50:00,07:51:00,11,0,Outbound
2025-01-19,Orange,trip_00111,stop_022,08:51:00,08:52:00,12,1,Inbound
2025-01-20,Red,trip_00112,stop_023,09:52:00,09:53:00,13,0,Outbound
2025-01-21,Orange,trip_00113,stop_024,10:53:00,10:54:00,14,1,Inbound
2025-01-22,Red,trip_00114,stop_025,11:54:00,11:55:00,15,0,Outbound
2025-01-23,Orange,trip_00115,stop_026,12:55:00,12:56:00,16,1,Inbound
2025-01-24,Red,trip_00116,stop_027,13:56:00,13:57:00,17,0,Outbound
2025-01-25,Orange,trip_00117,stop_028,14:57:00,14:58:00,18,1,Inbound
2025-01-26,Red,trip_00118,stop_029,15:58:00,15:59:00,19,0,Outbound
2025-01-27,Orange,trip_00119,stop_030,16:59:00,16:00:00,20,1,Inbound
2025-01-28,Red,trip_00120,stop_001,17:00:00,17:01:00,21,0,Outbound
2025-01-29,Orange,trip_00121,stop_002,18:01:00,18:02:00,22,1,Inbound
2025-01-30,Red,trip_00122,stop_003,19:02:00,19:03:00,23,0,Outbound
2025-01-31,Orange,trip_00123,stop_004,20:03:00,20:04:00,24,1,Inbound
2025-01-01,Red,trip_00124,stop_005,21:04:00,21:05:00,25,0,Outbound
2025-01-02,Orange,trip_00125,stop_006,22:05:00,22:06:00,1,1,Inbound
2025-01-03,Red,trip_00126,stop_007,05:06:00,05:07:00,2,0,Outbound
2025-01-04,Orange,trip_00127,stop_008,06:07:00,06:08:00,3,1,Inbound
2025-01-05,Red,trip_00128,stop_009,07:08:00,07:09:00,4,0,Outbound
2025-01-06,Orange,trip_00129,stop_010,08:09:00,08:10:00,5,1,Inbound
2025-01-07,Red,trip_00130,stop_011,09:10:00,09:11:00,6,0,Outbound
2025-01-08,Orange,trip_00131,stop_012,10:11:00,10:12:00,7,1,Inbound
2025-01-09,Red,trip_00132,stop_013,11:12:00,11:13:00,8,0,Outbound
2025-01-10,Orange,trip_00133,stop_014,12:13:00,12:14:00,9,1,Inbound
2025-01-11,Red,trip_00134,stop_015,13:14:00,13:15:00,10,0,Outbound
2025-01-12,Orange,trip_00135,stop_016,14:15:00,14:16:00,11,1,Inbound
2025-01-13,Red,trip_00136,stop_017,15:16:00,15:17:00,12,0,Outbound
2025-01-14,Orange,trip_00137,stop_018,16:17:00,16:18:00,13,1,Inbound
2025-01-15,Red,trip_00138,stop_019,17:18:00,17:19:00,14,0,Outbound
2025-01-16,Orange,trip_00139,stop_020,18:19:00,18:20:00,15,1,Inbound
2025-01-17,Red,trip_00140,stop_021,19:20:00,19:21:00,16,0,Outbound
2025-01-18,Orange,trip_00141,stop_022,20:21:00,20:22:00,17,1,Inbound
2025-01-19,Red,trip_00142,stop_023,21:22:00,21:23:00,18,0,Outbound
2025-01-20,Orange,trip_00143,stop_024,22:23:00,22:24:00,19,1,Inbound
2025-01-21,Red,trip_00144,stop_025,05:24:00,05:25:00,20,0,Outbound
2025-01-22,Orange,trip_00145,stop_026,06:25:00,06:26:00,21,1,Inbound
2025-01-23,Red,trip_00146,stop_027,07:26:00,07:27:00,22,0,Outbound
2025-01-24,Orange,trip_00147,stop_028,08:27:00,08:28:00,23,1,Inbound
2025-01-25,Red,trip_00148,stop_029,09:28:00,09:29:00,24,0,Outbound
2025-01-26,Orange,trip_00149,stop_030,10:29:00,10:30:00,25,1,Inbound
2025-01-27,Red,trip_00150,stop_001,11:30:00,11:31:00,1,0,Outbound
2025-01-28,Orange,trip_00151,stop_002,12:31:00,12:32:00,2,1,Inbound
2025-01-29,Red,trip_00152,stop_003,13:32:00,13:33:00,3,0,Outbound
2025-01-30,Orange,trip_00153,stop_004,14:33:00,14:34:00,4,1,Inbound
2025-01-31,Red,trip_00154,stop_005,15:34:00,15:35:00,5,0,Outbound
2025-01-01,Orange,trip_00155,stop_006,16:35:00,16:36:00,6,1,Inbound
2025-01-02,Red,trip_00156,stop_007,17:36:00,17:37:00,7,0,Outbound
2025-01-03,Orange,trip_00157,stop_008,18:37:00,18:38:00,8,1,Inbound
2025-01-04,Red,trip_00158,stop_009,19:38:00,19:39:00,9,0,Outbound
2025-01-05,Orange,trip_00159,stop_010,20:39:00,20:40:00,10,1,Inbound
2025-01-06,Red,trip_00160,stop_011,21:40:00,21:41:00,11,0,Outbound
2025-01-07,Orange,trip_00161,stop_012,22:41:00,22:42:00,12,1,Inbound
2025-01-08,Red,trip_00162,stop_013,05:42:00,05:43:00,13,0,Outbound
2025-01-09,Orange,trip_00163,stop_014,06:43:00,06:44:00,14,1,Inbound
2025-01-10,Red,trip_00164,stop_015,07:44:00,07:45:00,15,0,Outbound
2025-01-11,Orange,trip_00165,stop_016,08:45:00,08:46:00,16,1,Inbound
2025-01-12,Red,trip_00166,stop_017,09:46:00,09:47:00,17,0,Outbound
2025-01-13,Orange,trip_00167,stop_018,10:47:00,10:48:00,18,1,Inbound
2025-01-14,Red,trip_00168,stop_019,11:48:00,11:49:00,19,0,Outbound
2025-01-15,Orange,trip_00169,stop_020,12:49:00,12:50:00,20,1,Inbound
2025-01-16,Red,trip_00170,stop_021,13:50:00,13:51:00,21,0,Outbound
2025-01-17,Orange,trip_00171,stop_022,14:51:00,14:52:00,22,1,Inbound
2025-01-18,Red,trip_00172,stop_023,15:52:00,15:53:00,23,0,Outbound
2025-01-19,Orange,trip_00173,stop_024,16:53:00,16:54:00,24,1,Inbound
2025-01-20,Red,trip_00174,stop_025,17:54:00,17:55:00,25,0,Outbound
2025-01-21,Orange,trip_00175,stop_026,18:55:00,18:56:00,1,1,Inbound
2025-01-22,Red,trip_00176,stop_027,19:56:00,19:57:00,2,0,Outbound
2025-01-23,Orange,trip_00177,stop_028,20:57:00,20:58:00,3,1,Inbound
2025-01-24,Red,trip_00178,stop_029,21:58:00,21:59:00,4,0,Outbound
2025-01-25,Orange,trip_00179,stop_030,22:59:00,22:00:00,5,1,Inbound
2025-01-26,Red,trip_00180,stop_001,05:00:00,05:01:00,6,0,Outbound
2025-01-27,Orange,trip_00181,stop_002,06:01:00,06:02:00,7,1,Inbound
2025-01-28,Red,trip_00182,stop_003,07:02:00,07:03:00,8,0,Outbound
2025-01-29,Orange,trip_00183,stop_004,08:03:00,08:04:00,9,1,Inbound
2025-01-30,Red,trip_00184,stop_005,09:04:00,09:05:00,10,0,Outbound
2025-01-31,Orange,trip_00185,stop_006,10:05:00,10:06:00,11,1,Inbound
2025-01-01,Red,trip_00186,stop_007,11:06:00,11:07:00,12,0,Outbound
2025-01-02,Orange,trip_00187,stop_008,12:07:00,12:08:00,13,1,Inbound
2025-01-03,Red,trip_00188,stop_009,13:08:00,13:09:00,14,0,Outbound
2025-01-04,Orange,trip_00189,stop_010,14:09:00,14:10:00,15,1,Inbound
2025-01-05,Red,trip_00190,stop_011,15:10:00,15:11:00,16,0,Outbound
2025-01-06,Orange,trip_00191,stop_012,16:11:00,16:12:00,17,1,Inbound
2025-01-07,Red,trip_00192,stop_013,17:12:00,17:13:00,18,0,Outbound
2025-01-08,Orange,trip_00193,stop_014,18:13:00,18:14:00,19,1,Inbound
2025-01-09,Red,trip_00194,stop_015,19:14:00,19:15:00,20,0,Outbound
2025-01-10,Orange,trip_00195,stop_016,20:15:00,20:16:00,21,1,Inbound
2025-01-11,Red,trip_00196,stop_017,21:16:00,21:17:00,22,0,Outbound
2025-01-12,Orange,trip_00197,stop_018,22:17:00,22:18:00,23,1,Inbound
2025-01-13,Red,trip_00198,stop_019,05:18:00,05:19:00,24,0,Outbound
2025-01-14,Orange,trip_00199,stop_020,06:19:00,06:20:00,25,1,Inbound
2025-01-15,Red,trip_00200,stop_021,07:20:00,07:21:00,1,0,Outbound
2025-01-16,Orange,trip_00201,stop_022,08:21:00,08:22:00,2,1,Inbound
2025-01-17,Red,trip_00202,stop_023,09:22:00,09:23:00,3,0,Outbound
2025-01-18,Orange,trip_00203,stop_024,10:23:00,10:24:00,4,1,Inbound
2025-01-19,Red,trip_00204,stop_025,11:24:00,11:25:00,5,0,Outbound
2025-01-20,Orange,trip_00205,stop_026,12:25:00,12:26:00,6,1,Inbound
2025-01-21,Red,trip_00206,stop_027,13:26:00,13:27:00,7,0,Outbound
2025-01-22,Orange,trip_00207,stop_028,14:27:00,14:28:00,8,1,Inbound
2025-01-23,Red,trip_00208,stop_029,15:28:00,15:29:00,9,0,Outbound
2025-01-24,Orange,trip_00209,stop_030,16:29:00,16:30:00,10,1,Inbound
2025-01-25,Red,trip_00210,stop_001,17:30:00,17:31:00,11,0,Outbound
2025-01-26,Orange,trip_00211,stop_002,18:31:00,18:32:00,12,1,Inbound
2025-01-27,Red,trip_00212,stop_003,19:32:00,19:33:00,13,0,Outbound
2025-01-28,Orange,trip_00213,stop_004,20:33:00,20:34:00,14,1,Inbound
2025-01-29,Red,trip_00214,stop_005,21:34:00,21:35:00,15,0,Outbound
2025-01-30,Orange,trip_00215,stop_006,22:35:00,22:36:00,16,1,Inbound
2025-01-31,Red,trip_00216,stop_007,05:36:00,05:37:00,17,0,Outbound
2025-01-01,Orange,trip_00217,stop_008,06:37:00,06:38:00,18,1,Inbound
2025-01-02,Red,trip_00218,stop_009,07:38:00,07:39:00,19,0,Outbound
2025-01-03,Orange,trip_00219,stop_010,08:39:00,08:40:00,20,1,Inbound
2025-01-04,Red,trip_00220,stop_011,09:40:00,09:41:00,21,0,Outbound
2025-01-05,Orange,trip_00221,stop_012,10:41:00,10:42:00,22,1,Inbound
2025-01-06,Red,trip_00222,stop_013,11:42:00,11:43:00,23,0,Outbound
2025-01-07,Orange,trip_00223,stop_014,12:43:00,12:44:00,24,1,Inbound
2025-01-08,Red,trip_00224,stop_015,13:44:00,13:45:00,25,0,Outbound
2025-01-09,Orange,trip_00225,stop_016,14:45:00,14:46:00,1,1,Inbound
2025-01-10,Red,trip_00226,stop_017,15:46:00,15:47:00,2,0,Outbound
2025-01-11,Orange,trip_00227,stop_018,16:47:00,16:48:00,3,1,Inbound
2025-01-12,Red,trip_00228,stop_019,17:48:00,17:49:00,4,0,Outbound
2025-01-13,Orange,trip_00229,stop_020,18:49:00,18:50:00,5,1,Inbound
2025-01-14,Red,trip_00230,stop_021,19:50:00,19:51:00,6,0,Outbound
2025-01-15,Orange,trip_00231,stop_022,20:51:00,20:52:00,7,1,Inbound
2025-01-16,Red,trip_00232,stop_023,21:52:00,21:53:00,8,0,Outbound
2025-01-17,Orange,trip_00233,stop_024,22:53:00,22:54:00,9,1,Inbound
2025-01-18,Red,trip_00234,stop_025,05:54:00,05:55:00,10,0,Outbound
2025-01-19,Orange,trip_00235,stop_026,06:55:00,06:56:00,11,1,Inbound
2025-01-20,Red,trip_00236,stop_027,07:56:00,07:57:00,12,0,Outbound
2025-01-21,Orange,trip_00237,stop_028,08:57:00,08:58:00,13,1,Inbound
2025-01-22,Red,trip_00238,stop_029,09:58:00,09:59:00,14,0,Outbound
2025-01-23,Orange,trip_00239,stop_030,10:59:00,10:00:00,15,1,Inbound
2025-01-24,Red,trip_00240,stop_001,11:00:00,11:01:00,16,0,Outbound
2025-01-25,Orange,trip_00241,stop_002,12:01:00,12:02:00,17,1,Inbound
2025-01-26,Red,trip_00242,stop_003,13:02:00,13:03:00,18,0,Outbound
2025-01-27,Orange,trip_00243,stop_004,14:03:00,14:04:00,19,1,Inbound
2025-01-28,Red,trip_00244,stop_005,15:04:00,15:05:00,20,0,Outbound
2025-01-29,Orange,trip_00245,stop_006,16:05:00,16:06:00,21,1,Inbound
2025-01-30,Red,trip_00246,stop_007,17:06:00,17:07:00,22,0,Outbound
2025-01-31,Orange,trip_00247,stop_008,18:07:00,18:08:00,23,1,Inbound
2025-01-01,Red,trip_00248,stop_009,19:08:00,19:09:00,24,0,Outbound
2025-01-02,Orange,trip_00249,stop_010,20:09:00,20:10:00,25,1,Inbound
2025-01-03,Red,trip_00250,stop_011,21:10:00,21:11:00,1,0,Outbound
2025-01-04,Orange,trip_00251,stop_012,22:11:00,22:12:00,2,1,Inbound
2025-01-05,Red,trip_00252,stop_013,05:12:00,05:13:00,3,0,Outbound
2025-01-06,Orange,trip_00253,stop_014,06:13:00,06:14:00,4,1,Inbound
2025-01-07,Red,trip_00254,stop_015,07:14:00,07:15:00,5,0,Outbound
2025-01-08,Orange,trip_00255,stop_016,08:15:00,08:16:00,6,1,Inbound
2025-01-09,Red,trip_00256,stop_017,09:16:00,09:17:00,7,0,Outbound
2025-01-10,Orange,trip_00257,stop_018,10:17:00,10:18:00,8,1,Inbound
2025-01-11,Red,trip_00258,stop_019,11:18:00,11:19:00,9,0,Outbound
2025-01-12,Orange,trip_00259,stop_020,12:19:00,12:20:00,10,1,Inbound
2025-01-13,Red,trip_00260,stop_021,13:20:00,13:21:00,11,0,Outbound
2025-01-14,Orange,trip_00261,stop_022,14:21:00,14:22:00,12,1,Inbound
2025-01-15,Red,trip_00262,stop_023,15:22:00,15:23:00,13,0,Outbound
2025-01-16,Orange,trip_00263,stop_024,16:23:00,16:24:00,14,1,Inbound
2025-01-17,Red,trip_00264,stop_025,17:24:00,17:25:00,15,0,Outbound
2025-01-18,Orange,trip_00265,stop_026,18:25:00,18:26:00,16,1,Inbound
2025-01-19,Red,trip_00266,stop_027,19:26:00,19:27:00,17,0,Outbound
2025-01-20,Orange,trip_00267,stop_028,20:27:00,20:28:00,18,1,Inbound
2025-01-21,Red,trip_00268,stop_029,21:28:00,21:29:00,19,0,Outbound
2025-01-22,Orange,trip_00269,stop_030,22:29:00,22:30:00,20,1,Inbound
2025-01-23,Red,trip_00270,stop_001,05:30:00,05:31:00,21,0,Outbound
2025-01-24,Orange,trip_00271,stop_002,06:31:00,06:32:00,22,1,Inbound
2025-01-25,Red,trip_00272,stop_003,07:32:00,07:33:00,23,0,Outbound
2025-01-26,Orange,trip_00273,stop_004,08:33:00,08:34:00,24,1,Inbound
2025-01-27,Red,trip_00274,stop_005,09:34:00,09:35:00,25,0,Outbound
2025-01-28,Orange,trip_00275,stop_006,10:35:00,10:36:00,1,1,Inbound
2025-01-29,Red,trip_00276,stop_007,11:36:00,11:37:00,2,0,Outbound
2025-01-30,Orange,trip_00277,stop_008,12:37:00,12:38:00,3,1,Inbound
2025-01-31,Red,trip_00278,stop_009,13:38:00,13:39:00,4,0,Outbound
2025-01-01,Orange,trip_00279,stop_010,14:39:00,14:40:00,5,1,Inbound
2025-01-02,Red,trip_00280,stop_011,15:40:00,15:41:00,6,0,Outbound
2025-01-03,Orange,trip_00281,stop_012,16:41:00,16:42:00,7,1,Inbound
2025-01-04,Red,trip_00282,stop_013,17:42:00,17:43:00,8,0,Outbound
2025-01-05,Orange,trip_00283,stop_014,18:43:00,18:44:00,9,1,Inbound
2025-01-06,Red,trip_00284,stop_015,19:44:00,19:45:00,10,0,Outbound
2025-01-07,Orange,trip_00285,stop_016,20:45:00,20:46:00,11,1,Inbound
2025-01-08,Red,trip_00286,stop_017,21:46:00,21:47:00,12,0,Outbound
2025-01-09,Orange,trip_00287,stop_018,22:47:00,22:48:00,13,1,Inbound
2025-01-10,Red,trip_00288,stop_019,05:48:00,05:49:00,14,0,Outbound
2025-01-11,Orange,trip_00289,stop_020,06:49:00,06:50:00,15,1,Inbound
2025-01-12,Red,trip_00290,stop_021,07:50:00,07:51:00,16,0,Outbound
2025-01-13,Orange,trip_00291,stop_022,08:51:00,08:52:00,17,1,Inbound
2025-01-14,Red,trip_00292,stop_023,09:52:00,09:53:00,18,0,Outbound
2025-01-15,Orange,trip_00293,stop_024,10:53:00,10:54:00,19,1,Inbound
2025-01-16,Red,trip_00294,stop_025,11:54:00,11:55:00,20,0,Outbound
2025-01-17,Orange,trip_00295,stop_026,12:55:00,12:56:00,21,1,Inbound
2025-01-18,Red,trip_00296,stop_027,13:56:00,13:57:00,22,0,Outbound
2025-01-19,Orange,trip_00297,stop_028,14:57:00,14:58:00,23,1,Inbound
2025-01-20,Red,trip_00298,stop_029,15:58:00,15:59:00,24,0,Outbound
2025-01-21,Orange,trip_00299,stop_030,16:59:00,16:00:00,25,1,Inbound
2025-01-22,Red,trip_00300,stop_001,17:00:00,17:01:00,1,0,Outbound
2025-01-23,Orange,trip_00301,stop_002,18:01:00,18:02:00,2,1,Inbound
2025-01-24,Red,trip_00302,stop_003,19:02:00,19:03:00,3,0,Outbound
2025-01-25,Orange,trip_00303,stop_004,20:03:00,20:04:00,4,1,Inbound
2025-01-26,Red,trip_00304,stop_005,21:04:00,21:05:00,5,0,Outbound
2025-01-27,Orange,trip_00305,stop_006,22:05:00,22:06:00,6,1,Inbound
2025-01-28,Red,trip_00306,stop_007,05:06:00,05:07:00,7,0,Outbound
2025-01-29,Orange,trip_00307,stop_008,06:07:00,06:08:00,8,1,Inbound
2025-01-30,Red,trip_00308,stop_009,07:08:00,07:09:00,9,0,Outbound
2025-01-31,Orange,trip_00309,stop_010,08:09:00,08:10:00,10,1,Inbound
2025-01-01,Red,trip_00310,stop_011,09:10:00,09:11:00,11,0,Outbound
2025-01-02,Orange,trip_00311,stop_012,10:11:00,10:12:00,12,1,Inbound
2025-01-03,Red,trip_00312,stop_013,11:12:00,11:13:00,13,0,Outbound
2025-01-04,Orange,trip_00313,stop_014,12:13:00,12:14:00,14,1,Inbound
2025-01-05,Red,trip_00314,stop_015,13:14:00,13:15:00,15,0,Outbound
2025-01-06,Orange,trip_00315,stop_016,14:15:00,14:16:00,16,1,Inbound
2025-01-07,Red,trip_00316,stop_017,15:16:00,15:17:00,17,0,Outbound
2025-01-08,Orange,trip_00317,stop_018,16:17:00,16:18:00,18,1,Inbound
2025-01-09,Red,trip_00318,stop_019,17:18:00,17:19:00,19,0,Outbound
2025-01-10,Orange,trip_00319,stop_020,18:19:00,18:20:00,20,1,Inbound
2025-01-11,Red,trip_00320,stop_021,19:20:00,19:21:00,21,0,Outbound
2025-01-12,Orange,trip_00321,stop_022,20:21:00,20:22:00,22,1,Inbound
2025-01-13,Red,trip_00322,stop_023,21:22:00,21:23:00,23,0,Outbound
2025-01-14,Orange,trip_00323,stop_024,22:23:00,22:24:00,24,1,Inbound
2025-01-15,Red,trip_00324,stop_025,05:24:00,05:25:00,25,0,Outbound
2025-01-16,Orange,trip_00325,stop_026,06:25:00,06:26:00,1,1,Inbound
2025-01-17,Red,trip_00326,stop_027,07:26:00,07:27:00,2,0,Outbound
