service_date,route_id,stop_id,trip_id,prev_trip_id,headway_trunk_sec,headway_branch_sec,benchmark_headway_sec,direction,direction_id
2025-01-08,Red,stop_004,trip_00038,trip_00037,300,,300,Outbound,0
2025-01-09,Orange,stop_005,trip_00039,trip_00038,330,,300,Inbound,1
2025-01-10,Red,stop_006,trip_00040,trip_00039,360,,300,Outbound,0
2025-01-11,Orange,stop_007,trip_00041,trip_00040,390,,300,Inbound,1
2025-01-12,Red,stop_008,trip_00042,trip_00041,420,,300,Outbound,0
2025-01-13,Orange,stop_009,trip_00043,trip_00042,450,,300,Inbound,1
2025-01-14,Red,stop_010,trip_00044,trip_00043,480,,300,Outbound,0
2025-01-15,Orange,stop_011,trip_00045,trip_00044,510,,300,Inbound,1
2025-01-16,Red,stop_012,trip_00046,trip_00045,540,,300,Outbound,0
2025-01-17,Orange,stop_013,trip_00047,trip_00046,570,,300,Inbound,1
2025-01-18,Red,stop_014,trip_00048,trip_00047,240,,300,Outbound,0
2025-01-19,Orange,stop_015,trip_00049,trip_00048,270,,300,Inbound,1
2025-01-20,Red,stop_016,trip_00050,trip_00049,300,,300,Outbound,0
2025-01-21,Orange,stop_017,trip_00051,trip_00050,330,,300,Inbound,1
2025-01-22,Red,stop_018,trip_00052,trip_00051,360,,300,Outbound,0
2025-01-23,Orange,stop_019,trip_00053,trip_00052,390,,300,Inbound,1
2025-01-24,Red,stop_020,trip_00054,trip_00053,420,,300,Outbound,0
2025-01-25,Orange,stop_021,trip_00055,trip_00054,450,,300,Inbound,1
2025-01-26,Red,stop_022,trip_00056,trip_00055,480,,300,Outbound,0
2025-01-27,Orange,stop_023,trip_00057,trip_00056,510,,300,Inbound,1
2025-01-28,Red,stop_024,trip_00058,trip_00057,540,,300,Outbound,0
2025-01-29,Orange,stop_025,trip_00059,trip_00058,570,,300,Inbound,1
2025-01-30,Red,stop_026,trip_00060,trip_00059,240,,300,Outbound,0
2025-01-31,Orange,stop_027,trip_00061,trip_00060,270,,300,Inbound,1
2025-01-01,Red,stop_028,trip_00062,trip_00061,300,,300,Outbound,0
2025-01-02,Orange,stop_029,trip_00063,trip_00062,330,,300,Inbound,1
2025-01-03,Red,stop_030,trip_00064,trip_00063,360,,300,Outbound,0
2025-01-04,Orange,stop_031,trip_00065,trip_00064,390,,300,Inbound,1
2025-01-05,Red,stop_032,trip_00066,trip_00065,420,,300,Outbound,0
2025-01-06,Orange,stop_033,trip_00067,trip_00066,450,,300,Inbound,1
2025-01-07,Red,stop_034,trip_00068,trip_00067,480,,300,Outbound,0
2025-01-08,Orange,stop_035,trip_00069,trip_00068,510,,300,Inbound,1
2025-01-09,Red,stop_001,trip_00070,trip_00069,540,,300,Outbound,0
2025-01-10,Orange,stop_002,trip_00071,trip_00070,570,,300,Inbound,1
2025-01-11,Red,stop_003,trip_00072,trip_00071,240,,300,Outbound,0
2025-01-12,Orange,stop_004,trip_00073,trip_00072,270,,300,Inbound,1
2025-01-13,Red,stop_005,trip_00074,trip_00073,300,,300,Outbound,0
2025-01-14,Orange,stop_006,trip_00075,trip_00074,330,,300,Inbound,1
2025-01-15,Red,stop_007,trip_00076,trip_00075,360,,300,Outbound,0
2025-01-16,Orange,stop_008,trip_00077,trip_00076,390,,300,Inbound,1
2025-01-17,Red,stop_009,trip_00078,trip_00077,420,,300,Outbound,0
2025-01-18,Orange,stop_010,trip_00079,trip_00078,450,,300,Inbound,1
2025-01-19,Red,stop_011,trip_00080,trip_00079,480,,300,Outbound,0
2025-01-20,Orange,stop_012,trip_00081,trip_00080,510,,300,Inbound,1
2025-01-21,Red,stop_013,trip_00082,trip_00081,540,,300,Outbound,0
2025-01-22,Orange,stop_014,trip_00083,trip_00082,570,,300,Inbound,1
2025-01-23,Red,stop_015,trip_00084,trip_00083,240,,300,Outbound,0
2025-01-24,Orange,stop_016,trip_00085,trip_00084,270,,300,Inbound,1
2025-01-25,Red,stop_017,trip_00086,trip_00085,300,,300,Outbound,0
2025-01-26,Orange,stop_018,trip_00087,trip_00086,330,,300,Inbound,1
2025-01-27,Red,stop_019,trip_00088,trip_00087,360,,300,Outbound,0
2025-01-28,Orange,stop_020,trip_00089,trip_00088,390,,300,Inbound,1
2025-01-29,Red,stop_021,trip_00090,trip_00089,420,,300,Outbound,0
2025-01-30,Orange,stop_022,trip_00091,trip_00090,450,,300,Inbound,1
2025-01-31,Red,stop_023,trip_00092,trip_00091,480,,300,Outbound,0
2025-01-01,Orange,stop_024,trip_00093,trip_00092,510,,300,Inbound,1
2025-01-02,Red,stop_025,trip_00094,trip_00093,540,,300,Outbound,0
2025-01-03,Orange,stop_026,trip_00095,trip_00094,570,,300,Inbound,1
2025-01-04,Red,stop_027,trip_00096,trip_00095,240,,300,Outbound,0
2025-01-05,Orange,stop_028,trip_00097,trip_00096,270,,300,Inbound,1
2025-01-06,Red,stop_029,trip_00098,trip_00097,300,,300,Outbound,0
2025-01-07,Orange,stop_030,trip_00099,trip_00098,330,,300,Inbound,1
2025-01-08,Red,stop_031,trip_00100,trip_00099,360,,300,Outbound,0
2025-01-09,Orange,stop_032,trip_00101,trip_00100,390,,300,Inbound,1
2025-01-10,Red,stop_033,trip_00102,trip_00101,420,,300,Outbound,0
2025-01-11,Orange,stop_034,trip_00103,trip_00102,450,,300,Inbound,1
2025-01-12,Red,stop_035,trip_00104,trip_00103,480,,300,Outbound,0
2025-01-13,Orange,stop_001,trip_00105,trip_00104,510,,300,Inbound,1
2025-01-14,Red,stop_002,trip_00106,trip_00105,540,,300,Outbound,0
2025-01-15,Orange,stop_003,trip_00107,trip_00106,570,,300,Inbound,1
2025-01-16,Red,stop_004,trip_00108,trip_00107,240,,300,Outbound,0
2025-01-17,Orange,stop_005,trip_00109,trip_00108,270,,300,Inbound,1
2025-01-18,Red,stop_006,trip_00110,trip_00109,300,,300,Outbound,0
2025-01-19,Orange,stop_007,trip_00111,trip_00110,330,,300,Inbound,1
2025-01-20,Red,stop_008,trip_00112,trip_00111,360,,300,Outbound,0
2025-01-21,Orange,stop_009,trip_00113,trip_00112,390,,300,Inbound,1
2025-01-22,Red,stop_010,trip_00114,trip_00113,420,,300,Outbound,0
2025-01-23,Orange,stop_011,trip_00115,trip_00114,450,,300,Inbound,1
2025-01-24,Red,stop_012,trip_00116,trip_00115,480,,300,Outbound,0
2025-01-25,Orange,stop_013,trip_00117,trip_00116,510,,300,Inbound,1
2025-01-26,Red,stop_014,trip_00118,trip_00117,540,,300,Outbound,0
2025-01-27,Orange,stop_015,trip_00119,trip_00118,570,,300,Inbound,1
2025-01-28,Red,stop_016,trip_00120,trip_00119,240,,300,Outbound,0
2025-01-29,Orange,stop_017,trip_00121,trip_00120,270,,300,Inbound,1
2025-01-30,Red,stop_018,trip_00122,trip_00121,300,,300,Outbound,0
2025-01-31,Orange,stop_019,trip_00123,trip_00122,330,,300,Inbound,1
2025-01-01,Red,stop_020,trip_00124,trip_00123,360,,300,Outbound,0
2025-01-02,Orange,stop_021,trip_00125,trip_00124,390,,300,Inbound,1
2025-01-03,Red,stop_022,trip_00126,trip_00125,420,,300,Outbound,0
2025-01-04,Orange,stop_023,trip_00127,trip_00126,450,,300,Inbound,1
2025-01-05,Red,stop_024,trip_00128,trip_00127,480,,300,Outbound,0
2025-01-06,Orange,stop_025,trip_00129,trip_00128,510,,300,Inbound,1
2025-01-07,Red,stop_026,trip_00130,trip_00129,540,,300,Outbound,0
2025-01-08,Orange,stop_027,trip_00131,trip_00130,570,,300,Inbound,1
2025-01-09,Red,stop_028,trip_00132,trip_00131,240,,300,Outbound,0
2025-01-10,Orange,stop_029,trip_00133,trip_00132,270,,300,Inbound,1
2025-01-11,Red,stop_030,trip_00134,trip_00133,300,,300,Outbound,0
2025-01-12,Orange,stop_031,trip_00135,trip_00134,330,,300,Inbound,1
2025-01-13,Red,stop_032,trip_00136,trip_00135,360,,300,Outbound,0
2025-01-14,Orange,stop_033,trip_00137,trip_00136,390,,300,Inbound,1
2025-01-15,Red,stop_034,trip_00138,trip_00137,420,,300,Outbound,0
2025-01-16,Orange,stop_035,trip_00139,trip_00138,450,,300,Inbound,1
2025-01-17,Red,stop_001,trip_00140,trip_00139,480,,300,Outbound,0
2025-01-18,Orange,stop_002,trip_00141,trip_00140,510,,300,Inbound,1
2025-01-19,Red,stop_003,trip_00142,trip_00141,540,,300,Outbound,0
2025-01-20,Orange,stop_004,trip_00143,trip_00142,570,,300,Inbound,1
2025-01-21,Red,stop_005,trip_00144,trip_00143,240,,300,Outbound,0
2025-01-22,Orange,stop_006,trip_00145,trip_00144,270,,300,Inbound,1
2025-01-23,Red,stop_007,trip_00146,trip_00145,300,,300,Outbound,0
2025-01-24,Orange,stop_008,trip_00147,trip_00146,330,,300,Inbound,1
2025-01-25,Red,stop_009,trip_00148,trip_00147,360,,300,Outbound,0
2025-01-26,Orange,stop_010,trip_00149,trip_00148,390,,300,Inbound,1
2025-01-27,Red,stop_011,trip_00150,trip_00149,420,,300,Outbound,0
2025-01-28,Orange,stop_012,trip_00151,trip_00150,450,,300,Inbound,1
2025-01-29,Red,stop_013,trip_00152,trip_00151,480,,300,Outbound,0
2025-01-30,Orange,stop_014,trip_00153,trip_00152,510,,300,Inbound,1
2025-01-31,Red,stop_015,trip_00154,trip_00153,540,,300,Outbound,0
2025-01-01,Orange,stop_016,trip_00155,trip_00154,570,,300,Inbound,1
2025-01-02,Red,stop_017,trip_00156,trip_00155,240,,300,Outbound,0
2025-01-03,Orange,stop_018,trip_00157,trip_00156,270,,300,Inbound,1
2025-01-04,Red,stop_019,trip_00158,trip_00157,300,,300,Outbound,0
2025-01-05,Orange,stop_020,trip_00159,trip_00158,330,,300,Inbound,1
2025-01-06,Red,stop_021,trip_00160,trip_00159,360,,300,Outbound,0
2025-01-07,Orange,stop_022,trip_00161,trip_00160,390,,300,Inbound,1
2025-01-08,Red,stop_023,trip_00162,trip_00161,420,,300,Outbound,0
2025-01-09,Orange,stop_024,trip_00163,trip_00162,450,,300,Inbound,1
2025-01-10,Red,stop_025,trip_00164,trip_00163,480,,300,Outbound,0
2025-01-11,Orange,stop_026,trip_00165,trip_00164,510,,300,Inbound,1
2025-01-12,Red,stop_027,trip_00166,trip_00165,540,,300,Outbound,0
2025-01-13,Orange,stop_028,trip_00167,trip_00166,570,,300,Inbound,1
2025-01-14,Red,stop_029,trip_00168,trip_00167,240,,300,Outbound,0
2025-01-15,Orange,stop_030,trip_00169,trip_00168,270,,300,Inbound,1
2025-01-16,Red,stop_031,trip_00170,trip_00169,300,,300,Outbound,0
2025-01-17,Orange,stop_032,trip_00171,trip_00170,330,,300,Inbound,1
2025-01-18,Red,stop_033,trip_00172,trip_00171,360,,300,Outbound,0
2025-01-19,Orange,stop_034,trip_00173,trip_00172,390,,300,Inbound,1
2025-01-20,Red,stop_035,trip_00174,trip_00173,420,,300,Outbound,0
2025-01-21,Orange,stop_001,trip_00175,trip_00174,450,,300,Inbound,1
2025-01-22,Red,stop_002,trip_00176,trip_00175,480,,300,Outbound,0
2025-01-23,Orange,stop_003,trip_00177,trip_00176,510,,300,Inbound,1
2025-01-24,Red,stop_004,trip_00178,trip_00177,540,,300,Outbound,0
2025-01-25,Orange,stop_005,trip_00179,trip_00178,570,,300,Inbound,1
2025-01-26,Red,stop_006,trip_00180,trip_00179,240,,300,Outbound,0
2025-01-27,Orange,stop_007,trip_00181,trip_00180,270,,300,Inbound,1
2025-01-28,Red,stop_008,trip_00182,trip_00181,300,,300,Outbound,0
2025-01-29,Orange,stop_009,trip_00183,trip_00182,330,,300,Inbound,1
2025-01-30,Red,stop_010,trip_00184,trip_00183,360,,300,Outbound,0
2025-01-31,Orange,stop_011,trip_00185,trip_00184,390,,300,Inbound,1
2025-01-01,Red,stop_012,trip_00186,trip_00185,420,,300,Outbound,0
2025-01-02,Orange,stop_013,trip_00187,trip_00186,450,,300,Inbound,1
2025-01-03,Red,stop_014,trip_00188,trip_00187,480,,300,Outbound,0
2025-01-04,Orange,stop_015,trip_00189,trip_00188,510,,300,Inbound,1
2025-01-05,Red,stop_016,trip_00190,trip_00189,540,,300,Outbound,0
2025-01-06,Orange,stop_017,trip_00191,trip_00190,570,,300,Inbound,1
2025-01-07,Red,stop_018,trip_00192,trip_00191,240,,300,Outbound,0
2025-01-08,Orange,stop_019,trip_00193,trip_00192,270,,300,Inbound,1
2025-01-09,Red,stop_020,trip_00194,trip_00193,300,,300,Outbound,0
2025-01-10,Orange,stop_021,trip_00195,trip_00194,330,,300,Inbound,1
2025-01-11,Red,stop_022,trip_00196,trip_00195,360,,300,Outbound,0
2025-01-12,Orange,stop_023,trip_00197,trip_00196,390,,300,Inbound,1
2025-01-13,Red,stop_024,trip_00198,trip_00197,420,,300,Outbound,0
2025-01-14,Orange,stop_025,trip_00199,trip_00198,450,,300,Inbound,1
2025-01-15,Red,stop_026,trip_00200,trip_00199,480,,300,Outbound,0
2025-01-16,Orange,stop_027,trip_00201,trip_00200,510,,300,Inbound,1
2025-01-17,Red,stop_028,trip_00202,trip_00201,540,,300,Outbound,0
2025-01-18,Orange,stop_029,trip_00203,trip_00202,570,,300,Inbound,1
2025-01-19,Red,stop_030,trip_00204,trip_00203,240,,300,Outbound,0
2025-01-20,Orange,stop_031,trip_00205,trip_00204,270,,300,Inbound,1
2025-01-21,Red,stop_032,trip_00206,trip_00205,300,,300,Outbound,0
2025-01-22,Orange,stop_033,trip_00207,trip_00206,330,,300,Inbound,1
2025-01-23,Red,stop_034,trip_00208,trip_00207,360,,300,Outbound,0
2025-01-24,Orange,stop_035,trip_00209,trip_00208,390,,300,Inbound,1
2025-01-25,Red,stop_001,trip_00210,trip_00209,420,,300,Outbound,0
2025-01-26,Orange,stop_002,trip_00211,trip_00210,450,,300,Inbound,1
2025-01-27,Red,stop_003,trip_00212,trip_00211,480,,300,Outbound,0
2025-01-28,Orange,stop_004,trip_00213,trip_00212,510,,300,Inbound,1
2025-01-29,Red,stop_005,trip_00214,trip_00213,540,,300,Outbound,0
2025-01-30,Orange,stop_006,trip_00215,trip_00214,570,,300,Inbound,1
2025-01-31,Red,stop_007,trip_00216,trip_00215,240,,300,Outbound,0
2025-01-01,Orange,stop_008,trip_00217,trip_00216,270,,300,Inbound,1
2025-01-02,Red,stop_009,trip_00218,trip_00217,300,,300,Outbound,0
2025-01-03,Orange,stop_010,trip_00219,trip_00218,330,,300,Inbound,1
2025-01-04,Red,stop_011,trip_00220,trip_00219,360,,300,Outbound,0
2025-01-05,Orange,stop_012,trip_00221,trip_00220,390,,300,Inbound,1
2025-01-06,Red,stop_013,trip_00222,trip_00221,420,,300,Outbound,0
2025-01-07,Orange,stop_014,trip_00223,trip_00222,450,,300,Inbound,1
2025-01-08,Red,stop_015,trip_00224,trip_00223,480,,300,Outbound,0
2025-01-09,Orange,stop_016,trip_00225,trip_00224,510,,300,Inbound,1
2025-01-10,Red,stop_017,trip_00226,trip_00225,540,,300,Outbound,0
2025-01-11,Orange,stop_018,trip_00227,trip_00226,570,,300,Inbound,1
2025-01-12,Red,stop_019,trip_00228,trip_00227,240,,300,Outbound,0
2025-01-13,Orange,stop_020,trip_00229,trip_00228,270,,300,Inbound,1
2025-01-14,Red,stop_021,trip_00230,trip_00229,300,,300,Outbound,0
2025-01-15,Orange,stop_022,trip_00231,trip_00230,330,,300,Inbound,1
2025-01-16,Red,stop_023,trip_00232,trip_00231,360,,300,Outbound,0
2025-01-17,Orange,stop_024,trip_00233,trip_00232,390,,300,Inbound,1
2025-01-18,Red,stop_025,trip_00234,trip_00233,420,,300,Outbound,0
2025-01-19,Orange,stop_026,trip_00235,trip_00234,450,,300,Inbound,1
2025-01-20,Red,stop_027,trip_00236,trip_00235,480,,300,Outbound,0
2025-01-21,Orange,stop_028,trip_00237,trip_00236,510,,300,Inbound,1
2025-01-22,Red,stop_029,trip_00238,trip_00237,540,,300,Outbound,0
2025-01-23,Orange,stop_030,trip_00239,trip_00238,570,,300,Inbound,1
2025-01-24,Red,stop_031,trip_00240,trip_00239,240,,300,Outbound,0
2025-01-25,Orange,stop_032,trip_00241,trip_00240,270,,300,Inbound,1
2025-01-26,Red,stop_033,trip_00242,trip_00241,300,,300,Outbound,0
2025-01-27,Orange,stop_034,trip_00243,trip_00242,330,,300,Inbound,1
2025-01-28,Red,stop_035,trip_00244,trip_00243,360,,300,Outbound,0
2025-01-29,Orange,stop_001,trip_00245,trip_00244,390,,300,Inbound,1
2025-01-30,Red,stop_002,trip_00246,trip_00245,420,,300,Outbound,0
2025-01-31,Orange,stop_003,trip_00247,trip_00246,450,,300,Inbound,1
2025-01-01,Red,stop_004,trip_00248,trip_00247,480,,300,Outbound,0
2025-01-02,Orange,stop_005,trip_00249,trip_00248,510,,300,Inbound,1
2025-01-03,Red,stop_006,trip_00250,trip_00249,540,,300,Outbound,0
2025-01-04,Orange,stop_007,trip_00251,trip_00250,570,,300,Inbound,1
2025-01-05,Red,stop_008,trip_00252,trip_00251,240,,300,Outbound,0
2025-01-06,Orange,stop_009,trip_00253,trip_00252,270,,300,Inbound,1
2025-01-07,Red,stop_010,trip_00254,trip_00253,300,,300,Outbound,0
2025-01-08,Orange,stop_011,trip_00255,trip_00254,330,,300,Inbound,1
2025-01-09,Red,stop_012,trip_00256,trip_00255,360,,300,Outbound,0
2025-01-10,Orange,stop_013,trip_00257,trip_00256,390,,300,Inbound,1
2025-01-11,Red,stop_014,trip_00258,trip_00257,420,,300,Outbound,0
2025-01-12,Orange,stop_015,trip_00259,trip_00258,450,,300,Inbound,1
2025-01-13,Red,stop_016,trip_00260,trip_00259,480,,300,Outbound,0
2025-01-14,Orange,stop_017,trip_00261,trip_00260,510,,300,Inbound,1
2025-01-15,Red,stop_018,trip_00262,trip_00261,540,,300,Outbound,0
2025-01-16,Orange,stop_019,trip_00263,trip_00262,570,,300,Inbound,1
2025-01-17,Red,stop_020,trip_00264,trip_00263,240,,300,Outbound,0
2025-01-18,Orange,stop_021,trip_00265,trip_00264,270,,300,Inbound,1
2025-01-19,Red,stop_022,trip_00266,trip_00265,300,,300,Outbound,0
2025-01-20,Orange,stop_023,trip_00267,trip_00266,330,,300,Inbound,1
2025-01-21,Red,stop_024,trip_00268,trip_00267,360,,300,Outbound,0
2025-01-22,Orange,stop_025,trip_00269,trip_00268,390,,300,Inbound,1
2025-01-23,Red,stop_026,trip_00270,trip_00269,420,,300,Outbound,0
2025-01-24,Orange,stop_027,trip_00271,trip_00270,450,,300,Inbound,1
2025-01-25,Red,stop_028,trip_00272,trip_00271,480,,300,Outbound,0
2025-01-26,Orange,stop_029,trip_00273,trip_00272,510,,300,Inbound,1
2025-01-27,Red,stop_030,trip_00274,trip_00273,540,,300,Outbound,0
2025-01-28,Orange,stop_031,trip_00275,trip_00274,570,,300,Inbound,1
2025-01-29,Red,stop_032,trip_00276,trip_00275,240,,300,Outbound,0
2025-01-30,Orange,stop_033,trip_00277,trip_00276,270,,300,Inbound,1
2025-01-31,Red,stop_034,trip_00278,trip_00277,300,,300,Outbound,0
2025-01-01,Orange,stop_035,trip_00279,trip_00278,330,,300,Inbound,1
2025-01-02,Red,stop_001,trip_00280,trip_00279,360,,300,Outbound,0
2025-01-03,Orange,stop_002,trip_00281,trip_00280,390,,300,Inbound,1
2025-01-04,Red,stop_003,trip_00282,trip_00281,420,,300,Outbound,0
2025-01-05,Orange,stop_004,trip_00283,trip_00282,450,,300,Inbound,1
2025-01-06,Red,stop_005,trip_00284,trip_00283,480,,300,Outbound,0
2025-01-07,Orange,stop_006,trip_00285,trip_00284,510,,300,Inbound,1
2025-01-08,Red,stop_007,trip_00286,trip_00285,540,,300,Outbound,0
2025-01-09,Orange,stop_008,trip_00287,trip_00286,570,,300,Inbound,1
2025-01-10,Red,stop_009,trip_00288,trip_00287,240,,300,Outbound,0
2025-01-11,Orange,stop_010,trip_00289,trip_00288,270,,300,Inbound,1
2025-01-12,Red,stop_011,trip_00290,trip_00289,300,,300,Outbound,0
2025-01-13,Orange,stop_012,trip_00291,trip_00290,330,,300,Inbound,1
2025-01-14,Red,stop_013,trip_00292,trip_00291,360,,300,Outbound,0
2025-01-15,Orange,stop_014,trip_00293,trip_00292,390,,300,Inbound,1
2025-01-16,Red,stop_015,trip_00294,trip_00293,420,,300,Outbound,0
2025-01-17,Orange,stop_016,trip_00295,trip_00294,450,,300,Inbound,1
2025-01-18,Red,stop_017,trip_00296,trip_00295,480,,300,Outbound,0
2025-01-19,Orange,stop_018,trip_00297,trip_00296,510,,300,Inbound,1
2025-01-20,Red,stop_019,trip_00298,trip_00297,540,,300,Outbound,0
2025-01-21,Orange,stop_020,trip_00299,trip_00298,570,,300,Inbound,1
2025-01-22,Red,stop_021,trip_00300,trip_00299,240,,300,Outbound,0
2025-01-23,Orange,stop_022,trip_00301,trip_00300,270,,300,Inbound,1
2025-01-24,Red,stop_023,trip_00302,trip_00301,300,,300,Outbound,0
2025-01-25,Orange,stop_024,trip_00303,trip_00302,330,,300,Inbound,1
2025-01-26,Red,stop_025,trip_00304,trip_00303,360,,300,Outbound,0
2025-01-27,Orange,stop_026,trip_00305,trip_00304,390,,300,Inbound,1
2025-01-28,Red,stop_027,trip_00306,trip_00305,420,,300,Outbound,0
2025-01-29,Orange,stop_028,trip_00307,trip_00306,450,,300,Inbound,1
2025-01-30,Red,stop_029,trip_00308,trip_00307,480,,300,Outbound,0
2025-01-31,Orange,stop_030,trip_00309,trip_00308,510,,300,Inbound,1
2025-01-01,Red,stop_031,trip_00310,trip_00309,540,,300,Outbound,0
2025-01-02,Orange,stop_032,trip_00311,trip_00310,570,,300,Inbound,1
2025-01-03,Red,stop_033,trip_00312,trip_00311,240,,300,Outbound,0
2025-01-04,Orange,stop_034,trip_00313,trip_00312,270,,300,Inbound,1
2025-01-05,Red,stop_035,trip_00314,trip_00313,300,,300,Outbound,0
2025-01-06,Orange,stop_001,trip_00315,trip_00314,330,,300,Inbound,1
2025-01-07,Red,stop_002,trip_00316,trip_00315,360,,300,Outbound,0
2025-01-08,Orange,stop_003,trip_00317,trip_00316,390,,300,Inbound,1
2025-01-09,Red,stop_004,trip_00318,trip_00317,420,,300,Outbound,0
2025-01-10,Orange,stop_005,trip_00319,trip_00318,450,,300,Inbound,1
2025-01-11,Red,stop_006,trip_00320,trip_00319,480,,300,Outbound,0
2025-01-12,Orange,stop_007,trip_00321,trip_00320,510,,300,Inbound,1
2025-01-13,Red,stop_008,trip_00322,trip_00321,540,,300,Outbound,0
2025-01-14,Orange,stop_009,trip_00323,trip_00322,570,,300,Inbound,1
2025-01-15,Red,stop_010,trip_00324,trip_00323,240,,300,Outbound,0
2025-01-16,Orange,stop_011,trip_00325,trip_00324,270,,300,Inbound,1
2025-01-17,Red,stop_012,trip_00326,trip_00325,300,,300,Outbound,0
2025-01-18,Orange,stop_013,trip_00327,trip_00326,330,,300,Inbound,1
2025-01-19,Red,stop_014,trip_00328,trip_00327,360,,300,Outbound,0
2025-01-20,Orange,stop_015,trip_00329,trip_00328,390,,300,Inbound,1
2025-01-21,Red,stop_016,trip_00330,trip_00329,420,,300,Outbound,0
2025-01-22,Orange,stop_017,trip_00331,trip_00330,450,,300,Inbound,1
2025-01-23,Red,stop_018,trip_00332,trip_00331,480,,300,Outbound,0
2025-01-24,Orange,stop_019,trip_00333,trip_00332,510,,300,Inbound,1
2025-01-25,Red,stop_020,trip_00334,trip_00333,540,,300,Outbound,0
2025-01-26,Orange,stop_021,trip_00335,trip_00334,570,,300,Inbound,1
2025-01-27,Red,stop_022,trip_00336,trip_00335,240,,300,Outbound,0
2025-01-28,Orange,stop_023,trip_00337,trip_00336,270,,300,Inbound,1
2025-01-29,Red,stop_024,trip_00338,trip_00337,300,,300,Outbound,0
2025-01-30,Orange,stop_025,trip_00339,trip_00338,330,,300,Inbound,1
2025-01-31,Red,stop_026,trip_00340,trip_00339,360,,300,Outbound,0
2025-01-01,Orange,stop_027,trip_00341,trip_00340,390,,300,Inbound,1
2025-01-02,Red,stop_028,trip_00342,trip_00341,420,,300,Outbound,0
2025-01-03,Orange,stop_029,trip_00343,trip_00342,450,,300,Inbound,1
2025-01-04,Red,stop_030,trip_00344,trip_00343,480,,300,Outbound,0
2025-01-05,Orange,stop_031,trip_00345,trip_00344,510,,300,Inbound,1
2025-01-06,Red,stop_032,trip_00346,trip_00345,540,,300,Outbound,0
2025-01-07,Orange,stop_033,trip_00347,trip_00346,570,,300,Inbound,1
2025-01-08,Red,stop_034,trip_00348,trip_00347,240,,300,Outbound,0
2025-01-09,Orange,stop_035,trip_00349,trip_00348,270,,300,Inbound,1
2025-01-10,Red,stop_001,trip_00350,trip_00349,300,,300,Outbound,0
